LOCATION,n,Can Recode?,LATITUDE,LONGITUDE
I395 SW 250 FEET AFTER EXIT 4 E/B,LOTS,yes,38.882188,-77.025571
DC295 SE 0.4 MILES S/O E/2 S/B (WZ),17847,yes,38.842975,-77.007777
DC295 SW .05 MILE S/O EXIT 1 N/B,5310,yes,38.822317,-77.016632
DC295 SW .05 mile s/o exit 1 n/b,2545,yes,38.822317,-77.016632
S DAKOTA AVE SE/B @ BLADENSBURG RD,491,yes,38.925303,-76.965241
INTERSECTION  WASHINGTON CIR NW  @*,380,yes,38.902401,-77.050043
INTERSECTION  BENNING RD NE WESTBO*,296,no,,
BLOCK  UNIT BLOCK 22ND ST NE SOUTH*,116,no,,
INTERSECTION  MASSACHUSETTS AVE NW*,113,no,,
INTERSECTION  ERIE ST SE WESTBOUND*,111,no,,
INTERSECTION  10TH ST NW  @FLORIDA*,103,yes,38.920517,-77.025983
INTERSECTION  NEBRASKA AVE NW EAST*,102,no,,
INTERSECTION  BRANCH AVE SE SOUTHB*,97,no,,
INTERSECTION  GEORGIA AVE NW NORTH*,94,no,,
ON BRIDGE  CONNECTICUT AVE NW NORT*,94,no,,
INTERSECTION  GEORGIA AVE NW SOUTH*,91,no,,
MONROE ST E/B 16TH ST NE,59,yes,38.932962,-76.98272
INTERSECTION 15TH ST NE NORTHBOUN*,,no,,
TAFT BRIDGE CONNECTICUT AVE NW SO*,,yes,38.921144,-77.050116
INTERSECTION NORTH CAPITOL ST NW *,,no,,
INTERSECTION 14TH ST NW @U ST NW,,yes,38.917079,-77.031947
INTERSECTION 19TH ST SE NORTHBOUN*,,no,,
INTERSECTION BENNING RD NE WESTBO*,,no,,
INTERSECTION MASSACHUSETTS AVE NW*,,no,,
TAFT BRIDGE CONNECTICUT AVE NW NO*,,yes,38.921144,-77.050116
INTERSECTION 14TH ST NE SOUTHBOUN*,,no,,
INTERSECTION G ST NE EASTBOUND @1*,,no,,
INTERSECTION NEW JERSEY AVE NW NO*,,no,,
INTERSECTION 19TH ST NE NORTHBOUN*,,no,,
INTERSECTION CONSTITUTION AVE NE *,,no,,
INTERSECTION GEORGIA AVE NW NORTH*,,no,,
INTERSECTION KENNEDY ST NW EASTBO*,,no,,
INTERSECTION MINNESOTA AVE NE SOU*,,no,,
INTERSECTION MINNESOTA AVE SE SOU*,,no,,
ON BRIDGE CONNECTICUT AVE NW NORT*,,no,,
INTERSECTION 34TH ST NE WESTBOUND*,,no,,
INTERSECTION SHERIFF RD NE WESTBO*,,no,,
INTERSECTION 11TH ST SE SOUTHBOUN*,,no,,
INTERSECTION NEW HAMPSHIRE AVE NW*,,no,,
INTERSECTION 17TH ST NW @CORCORA*,,yes,38.911874,-77.038461
ON BRIDGE CONNECTICUT AVE NW SOUT*,,no,,
INTERSECTION M ST NW WESTBOUND @2*,,no,,
INTERSECTION 9TH ST NW @K ST NW,,yes,38.902525,-77.023968
INTERSECTION GEORGIA AVE NW SOUTH*,,no,,
INTERSECTION BRANCH AVE SE SOUTHB*,,no,,
INTERSECTION 17TH ST NW SOUTHBOUN*,,no,,
INTERSECTION 14TH ST NW NORTHBOUN*,,no,,
INTERSECTION 3RD ST NE NORTHBOUND*,,no,,
INTERSECTION NEBRASKA AVE NW EAST*,,no,,
INTERSECTION 30TH ST NW SOUTHBOUN*,,no,,
INTERSECTION BRANCH AVE SE EASTBO*,,no,,
INTERSECTION WASHINGTON CIR NW @*,,yes,38.902401,-77.050043
INTERSECTION BRANCH AVE SE @FRAN*,,yes,38.856475,-76.958968
INTERSECTION M ST NW @WISCONSIN *,,yes,38.905133,-77.062794
INTERSECTION BRANCH AVE SE @ERIE*,,yes,38.857285,-76.958964
INTERSECTION EASTERN AVE NE NORTH*,,no,,
INTERSECTION EASTERN AVE NE SOUTH*,,no,,
INTERSECTION 9TH ST NW SOUTHBOUND*,,no,,
INTERSECTION CALVERT ST NW EASTBO*,,no,,
INTERSECTION FRANKFORD ST SE WEST*,,no,,
INTERSECTION PENNSYLVANIA AVE SE *,,no,,
UNIT 22ND ST NE SOUTH*,,no,,
INTERSECTION SPRING RD NW WESTBOU*,,no,,
INTERSECTION MAINE AVE SW WESTBOU*,,no,,
INTERSECTION 17TH ST SE SOUTHBOUN*,,no,,
INTERSECTION MAINE AVE SW EASTBOU*,,no,,
INTERSECTION 18TH ST NE @EVARTS *,,yes,38.924517,-76.978977
INTERSECTION 20TH ST NW @L ST NW,,yes,38.903751,-77.044891
INTERSECTION BLADENSBURG RD NE WE*,,no,,
INT O & POTOMAC ST NW,,yes,38.907829,-77.065274
INTERSECTION 49TH ST NE NORTHBOUN*,,no,,
INTERSECTION WASHINGTON CIR NW EA*,,yes,38.902401,-77.050043
INTERSECTION WASHINGTON CIR NW SO*,,yes,38.902401,-77.050043
ON SOUTH CAPITOL ST SE SOUTHBOUND*,,no,,
INTERSECTION 32ND ST SE SOUTHBOUN*,,no,,
INTERSECTION RHODE ISLAND AVE NW *,,no,,
